"Date","Open","High","Low","Close"
"1/1/2019 0:00","3692.35","3700","3680.77","3696.16"
"1/1/2019 1:00","3696.16","3696.35","3666.91","3679.18"
"1/1/2019 2:00","3679.18","3680","3577.18","3673.2"
"1/1/2019 3:00","3673.2","3684.52","3673.2","3683.69"
"1/1/2019 4:00","3683.69","3700","3668.99","3683.01"
"1/1/2019 5:00","3683.01","3691.17","3681.25","3690.22"
"1/1/2019 6:00","3690.22","3694.14","3683.39","3690.65"
"1/1/2019 7:00","3690.65","3717.69","3688.07","3699.11"
"1/1/2019 8:00","3699.11","3721.36","3698.61","3707.12"
"1/1/2019 9:00","3707.12","3712","3689.62","3689.73"
"1/1/2019 10:00","3689.73","3706.75","3689.73","3701.23"
"1/1/2019 11:00","3701.23","3714.15","3701.23","3705.2"
"1/1/2019 12:00","3705.2","3716.47","3693.94","3710.67"
"1/1/2019 13:00","3710.67","3749.36","3704.39","3717.86"
"1/1/2019 14:00","3717.86","3717.86","3672.31","3696.35"
"1/1/2019 15:00","3696.35","3696.35","3670.82","3679.96"
"1/1/2019 16:00","3679.96","3693.07","3672.63","3691.79"
"1/1/2019 17:00","3691.79","3698.1","3672.99","3690.02"
"1/1/2019 18:00","3690.02","3690.02","3636.83","3659.36"
"1/1/2019 19:00","3659.36","3698","3659.36","3698"
"1/1/2019 20:00","3698","3732.74","3697.53","3726.63"
"1/1/2019 21:00","3726.63","3738.51","3713.58","3718.05"
"1/1/2019 22:00","3718.05","3726.47","3708.82","3720.51"
"1/1/2019 23:00","3720.51","3840.85","3718.68","3823.63"
"1/2/2019 0:00","3823.63","3833.18","3790.9","3801.45"
"1/2/2019 1:00","3801.45","3806.91","3791.49","3793.67"
"1/2/2019 2:00","3793.67","3804.16","3790.62","3800"
"1/2/2019 3:00","3800","3809.14","3795.09","3796.26"
"1/2/2019 4:00","3796.26","3805.01","3788.76","3794.51"
"1/2/2019 5:00","3794.51","3799.43","3789.74","3795.41"
"1/2/2019 6:00","3795.41","3798.76","3763.85","3778.36"
"1/2/2019 7:00","3778.36","3797.38","3776.72","3793.63"
"1/2/2019 8:00","3793.63","3811.88","3787.01","3801.87"
"1/2/2019 9:00","3801.87","3802.05","3788.73","3788.73"
"1/2/2019 10:00","3788.73","3812.39","3788.23","3802.53"
"1/2/2019 11:00","3802.53","3823.71","3796.58","3807.79"
"1/2/2019 12:00","3807.79","3811.14","3795.71","3807.62"
"1/2/2019 13:00","3807.62","3850","3807.62","3839.7"
"1/2/2019 14:00","3839.7","3843.44","3812.14","3826.85"
"1/2/2019 15:00","3826.85","3831.49","3808.26","3817.93"
"1/2/2019 16:00","3817.93","3886.36","3812.18","3849.74"
"1/2/2019 17:00","3849.74","3865.74","3832.28","3847.86"
